   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.032    0.032 __init__.py:228(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:229(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        2    0.000    0.000    0.012    0.006 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:247(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:250(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:265(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:265(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:266(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:269(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:271(loads)
        1    0.000    0.000    0.001    0.001 __init__.py:274(shuffle)
        1    0.000    0.000    0.000    0.000 __init__.py:280(set_fileo)
        1    0.000    0.000    0.000    0.000 __init__.py:29(deprecated)
       23    0.000    0.000    0.000    0.000 __init__.py:297(report)
        9    0.000    0.000    0.288    0.032 __init__.py:3(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:308(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:31(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:314(CDLL)
    14/10    0.000    0.000    0.001    0.000 __init__.py:319(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:331(__init__)
       23    0.000    0.000    0.000    0.000 __init__.py:331(ge)
        1    0.000    0.000    0.199    0.199 __init__.py:335(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:341(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:348(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:35(__sympy_debug)
      103    0.003    0.000    0.057    0.001 __init__.py:356(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:357(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:364(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:376(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:385(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:394(StringTemplateStyle)
        5    0.000    0.000    0.253    0.051 __init__.py:4(<module>)
        2    0.000    0.000    0.028    0.014 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:410(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:411(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:418(Formatter)
      430    0.000    0.000    0.001    0.000 __init__.py:419(<genexpr>)
       25    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
      430    0.000    0.000    0.001    0.000 __init__.py:421(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:428(checkdep_ps_distiller)
        2    0.000    0.000    0.033    0.017 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:462(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:469(checkdep_usetex)
        1    0.000    0.000    0.000    0.000 __init__.py:474(ConvergenceWarning)
        3    0.000    0.000    0.000    0.000 __init__.py:475(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:476(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:478(DataDimensionalityWarning)
        5    0.000    0.000    0.000    0.000 __init__.py:483(cast)
        6    0.000    0.000    0.071    0.012 __init__.py:5(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:5(HTTPStatus)
       21    0.000    0.000    0.000    0.000 __init__.py:50(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:513(_get_home)
        2    0.000    0.000    0.011    0.005 __init__.py:52(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:56(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:566(_get_xdg_config_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:580(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:591(BufferingFormatter)
